Fahrenheit		Celsius
------------------------------
 0.0		- 17.8
 1.0		- 17.2
 2.0		- 16.7
 3.0		- 16.1
 4.0		- 15.6
 5.0		- 15.0
 6.0		- 14.4
 7.0		- 13.9
 8.0		- 13.3
 9.0		- 12.8
 10.0		- 12.2
 11.0		- 11.7
 12.0		- 11.1
 13.0		- 10.6
 14.0		- 10.0
 15.0		- 9.4
 16.0		- 8.9
 17.0		- 8.3
 18.0		- 7.8
 19.0		- 7.2
 20.0		- 6.7
 21.0		- 6.1
 22.0		- 5.6
 23.0		- 5.0
 24.0		- 4.4
 25.0		- 3.9
 26.0		- 3.3
 27.0		- 2.8
 28.0		- 2.2
 29.0		- 1.7
 30.0		- 1.1
 31.0		- 0.6
 32.0		 0.0
 33.0		 0.6
 34.0		 1.1
 35.0		 1.7
 36.0		 2.2
 37.0		 2.8
 38.0		 3.3
 39.0		 3.9
 40.0		 4.4
 41.0		 5.0
 42.0		 5.6
 43.0		 6.1
 44.0		 6.7
 45.0		 7.2
 46.0		 7.8
 47.0		 8.3
 48.0		 8.9
 49.0		 9.4
 50.0		 10.0
 51.0		 10.6
 52.0		 11.1
 53.0		 11.7
 54.0		 12.2
 55.0		 12.8
 56.0		 13.3
 57.0		 13.9
 58.0		 14.4
 59.0		 15.0
 60.0		 15.6
 61.0		 16.1
 62.0		 16.7
 63.0		 17.2
 64.0		 17.8
 65.0		 18.3
 66.0		 18.9
 67.0		 19.4
 68.0		 20.0
 69.0		 20.6
 70.0		 21.1
 71.0		 21.7
 72.0		 22.2
 73.0		 22.8
 74.0		 23.3
 75.0		 23.9
 76.0		 24.4
 77.0		 25.0
 78.0		 25.6
 79.0		 26.1
 80.0		 26.7
 81.0		 27.2
 82.0		 27.8
 83.0		 28.3
 84.0		 28.9
 85.0		 29.4
 86.0		 30.0
 87.0		 30.6
 88.0		 31.1
 89.0		 31.7
 90.0		 32.2
 91.0		 32.8
 92.0		 33.3
 93.0		 33.9
 94.0		 34.4
 95.0		 35.0
 96.0		 35.6
 97.0		 36.1
 98.0		 36.7
 99.0		 37.2
 100.0		 37.8
