=====================================================
Starting temperature: -999.0	Ending Range: 999.0
=====================================================
Celsius		Fahrenheit
------------------------------
-999.0		-1766.2
-998.0		-1764.4
-997.0		-1762.6
-996.0		-1760.8
-995.0		-1759.0
-994.0		-1757.2
-993.0		-1755.4
-992.0		-1753.6
-991.0		-1751.8
-990.0		-1750.0
-989.0		-1748.2
-988.0		-1746.4
-987.0		-1744.6
-986.0		-1742.8
-985.0		-1741.0
-984.0		-1739.2
-983.0		-1737.4
-982.0		-1735.6
-981.0		-1733.8
-980.0		-1732.0
-979.0		-1730.2
-978.0		-1728.4
-977.0		-1726.6
-976.0		-1724.8
-975.0		-1723.0
-974.0		-1721.2
-973.0		-1719.4
-972.0		-1717.6
-971.0		-1715.8
-970.0		-1714.0
-969.0		-1712.2
-968.0		-1710.4
-967.0		-1708.6
-966.0		-1706.8
-965.0		-1705.0
-964.0		-1703.2
-963.0		-1701.4
-962.0		-1699.6
-961.0		-1697.8
-960.0		-1696.0
-959.0		-1694.2
-958.0		-1692.4
-957.0		-1690.6
-956.0		-1688.8
-955.0		-1687.0
-954.0		-1685.2
-953.0		-1683.4
-952.0		-1681.6
-951.0		-1679.8
-950.0		-1678.0
-949.0		-1676.2
-948.0		-1674.4
-947.0		-1672.6
-946.0		-1670.8
-945.0		-1669.0
-944.0		-1667.2
-943.0		-1665.4
-942.0		-1663.6
-941.0		-1661.8
-940.0		-1660.0
-939.0		-1658.2
-938.0		-1656.4
-937.0		-1654.6
-936.0		-1652.8
-935.0		-1651.0
-934.0		-1649.2
-933.0		-1647.4
-932.0		-1645.6
-931.0		-1643.8
-930.0		-1642.0
-929.0		-1640.2
-928.0		-1638.4
-927.0		-1636.6
-926.0		-1634.8
-925.0		-1633.0
-924.0		-1631.2
-923.0		-1629.4
-922.0		-1627.6
-921.0		-1625.8
-920.0		-1624.0
-919.0		-1622.2
-918.0		-1620.4
-917.0		-1618.6
-916.0		-1616.8
-915.0		-1615.0
-914.0		-1613.2
-913.0		-1611.4
-912.0		-1609.6
-911.0		-1607.8
-910.0		-1606.0
-909.0		-1604.2
-908.0		-1602.4
-907.0		-1600.6
-906.0		-1598.8
-905.0		-1597.0
-904.0		-1595.2
-903.0		-1593.4
-902.0		-1591.6
-901.0		-1589.8
-900.0		-1588.0
-899.0		-1586.2
-898.0		-1584.4
-897.0		-1582.6
-896.0		-1580.8
-895.0		-1579.0
-894.0		-1577.2
-893.0		-1575.4
-892.0		-1573.6
-891.0		-1571.8
-890.0		-1570.0
-889.0		-1568.2
-888.0		-1566.4
-887.0		-1564.6
-886.0		-1562.8
-885.0		-1561.0
-884.0		-1559.2
-883.0		-1557.4
-882.0		-1555.6
-881.0		-1553.8
-880.0		-1552.0
-879.0		-1550.2
-878.0		-1548.4
-877.0		-1546.6
-876.0		-1544.8
-875.0		-1543.0
-874.0		-1541.2
-873.0		-1539.4
-872.0		-1537.6
-871.0		-1535.8
-870.0		-1534.0
-869.0		-1532.2
-868.0		-1530.4
-867.0		-1528.6
-866.0		-1526.8
-865.0		-1525.0
-864.0		-1523.2
-863.0		-1521.4
-862.0		-1519.6
-861.0		-1517.8
-860.0		-1516.0
-859.0		-1514.2
-858.0		-1512.4
-857.0		-1510.6
-856.0		-1508.8
